test,t,set_L,set_R,vel_L,vel_R
straight_medium,8.5401,-0.5,-0.5,-0.6996,-0.6993
straight_medium,8.5608,-0.5,-0.5,-0.6996,-0.6417
straight_medium,8.5814,-0.5,-0.5,-0.6996,-0.6417
straight_medium,8.6031,-0.5,-0.5,-0.3504,-0.6417
straight_medium,8.6239,-0.5,-0.5,-0.3504,-0.3497
straight_medium,8.6444,-0.5,-0.5,-0.3504,-0.3497
straight_medium,8.6658,-0.5,-0.5,-0.3504,-0.3497
straight_medium,8.6865,-0.5,-0.5,-0.3504,-0.3829
straight_medium,8.7071,-0.5,-0.5,-0.3504,-0.3829
straight_medium,8.7285,-0.5,-0.5,-0.3209,-0.3829
straight_medium,8.7491,-0.5,-0.5,-0.3209,-0.701
straight_medium,8.7696,-0.5,-0.5,-0.3209,-0.701
straight_medium,8.7909,-0.5,-0.5,-0.5918,-0.701
straight_medium,8.8116,-0.5,-0.5,-0.5918,0.0
straight_medium,8.8321,-0.5,-0.5,-0.5918,0.0
straight_medium,8.8534,-0.5,-0.5,-0.6417,0.0
straight_medium,8.8741,-0.5,-0.5,-0.6417,-0.3496
straight_medium,8.8946,-0.5,-0.5,-0.6417,-0.3496
straight_medium,8.9159,-0.5,-0.5,-0.7008,-0.3496
straight_medium,8.9366,-0.5,-0.5,-0.7008,-0.3244
straight_medium,8.9571,-0.5,-0.5,-0.7008,-0.3244
straight_medium,8.9784,-0.5,-0.5,0.0,-0.3244
straight_medium,8.999,-0.5,-0.5,0.0,0.0
straight_medium,9.0195,-0.5,-0.5,0.0,0.0
straight_medium,9.0408,-0.5,-0.5,-0.6417,0.0
straight_medium,9.0616,-0.5,-0.5,-0.6417,-0.6418
straight_medium,9.0821,-0.5,-0.5,-0.6417,-0.6418
straight_medium,9.1041,-0.5,-0.5,-0.3504,-0.6418
straight_medium,9.1248,-0.5,-0.5,-0.3504,-0.6993
straight_medium,9.1453,-0.5,-0.5,-0.3504,-0.6993
straight_medium,9.1667,-0.5,-0.5,-0.3496,-0.6993
straight_medium,9.1874,-0.5,-0.5,-0.3496,-0.384
straight_medium,9.2079,-0.5,-0.5,-0.3496,-0.384
straight_medium,9.2293,-0.5,-0.5,-0.6418,-0.384
straight_medium,9.25,-0.5,-0.5,-0.6418,-0.9627
straight_medium,9.2705,-0.5,-0.5,-0.6418,-0.9627
straight_medium,9.292,-0.5,-0.5,-0.3209,-0.9627
straight_medium,9.3127,-0.5,-0.5,-0.3209,-0.6421
straight_medium,9.3332,-0.5,-0.5,-0.3209,-0.6421
straight_medium,9.3547,-0.5,-0.5,-0.6417,-0.6421
straight_medium,9.3754,-0.5,-0.5,-0.6417,-0.699
straight_medium,9.3959,-0.5,-0.5,-0.6417,-0.699
straight_medium,9.4173,-0.5,-0.5,-0.3217,-0.699
straight_medium,9.4381,-0.5,-0.5,-0.3217,-0.3209
straight_medium,9.4586,-0.5,-0.5,-0.3217,-0.3209
straight_medium,9.48,-0.5,-0.5,-0.6418,-0.3209
straight_medium,9.5006,-0.5,-0.5,-0.6418,-0.3505
stop,10.0221,0.0,0.0,-0.6418,-0.3505
stop,10.0437,0.0,0.0,0.0,-0.3505
stop,10.0644,0.0,0.0,0.0,0.0
stop,10.0857,0.0,0.0,0.0,0.0
stop,10.1074,0.0,0.0,0.0,0.0
stop,10.1281,0.0,0.0,0.0,0.0
stop,10.1486,0.0,0.0,0.0,0.0
stop,10.17,0.0,0.0,0.0,0.0
stop,10.1908,0.0,0.0,0.0,0.0
stop,10.2114,0.0,0.0,0.0,0.0
stop,10.2328,0.0,0.0,0.0,0.0
stop,10.2535,0.0,0.0,0.0,0.0
stop,10.274,0.0,0.0,0.0,0.0
stop,10.2954,0.0,0.0,0.0,0.0
stop,10.3162,0.0,0.0,0.0,0.0
